Belgium,Finland,France,Germany,Ireland,Israel,Italy,Luxembourg,Malta,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia,Austria,Greece,Denmark,Morocco,Cyprus,Iceland,Bosnia & Herzegovina,Croatia,Slovenia,Estonia,Hungary,Lithuania,Poland,Romania,Russia,Slovakia,F.Y.R. Macedonia,Latvia,Ukraine,Albania,Andorra,Belarus,Serbia & Montenegro,Bulgaria,Moldova,Armenia,Czech Republic,Georgia,Montenegro,Serbia,Azerbaijan,San Marino,Australia,Macedonia,The Netherands
15,7,4,17,9,11,3,5,12,13,18,16,10,8,6,1,19,2,14,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
8,11,2,15,10,6,7,14,55,3,18,12,16,55,4,9,55,1,17,5,13,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
7,10,1,8,3,11,13,16,55,4,14,15,9,18,6,12,55,2,55,17,5,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
2,18,3,6,5,1,12,7,55,4,20,17,10,14,9,13,19,11,55,15,8,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
18,14,3,4,5,1,15,13,55,16,11,9,2,17,10,12,55,7,55,19,8,6,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
17,19,11,2,1,55,6,9,55,55,16,7,12,10,4,5,15,3,55,8,13,14,18,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
13,16,3,2,5,7,55,11,55,55,20,18,14,10,4,9,19,1,15,17,8,12,55,6,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
4,18,55,1,11,2,55,6,55,55,12,13,10,8,3,16,15,7,14,9,55,17,55,5,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
18,11,8,5,55,2,12,1,55,55,9,13,19,3,15,7,20,6,4,10,14,17,55,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
6,9,8,13,2,55,5,10,55,55,17,11,3,1,16,14,12,7,18,19,55,4,55,15,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
19,9,10,2,6,5,7,13,55,55,1,18,14,3,12,55,15,4,55,8,16,11,55,17,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
1,15,17,8,4,19,55,3,55,55,12,14,10,5,2,13,9,7,11,18,55,6,55,20,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
11,15,14,2,1,8,3,21,55,55,9,18,19,12,17,6,22,13,4,20,10,5,55,7,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
19,20,10,14,8,7,13,4,55,55,5,18,11,12,1,9,15,2,6,21,17,3,55,55,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
19,7,8,14,18,12,9,20,55,55,17,16,6,4,13,15,21,2,1,5,10,3,55,11,22,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
12,21,3,9,2,18,1,13,55,55,22,20,5,16,11,15,17,6,7,10,19,8,55,14,4,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
16,20,2,18,10,3,7,14,6,55,17,8,4,1,5,55,12,11,21,22,13,19,55,9,15,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
20,23,8,16,1,6,4,21,3,55,18,17,14,22,15,9,19,2,13,10,5,12,55,11,7,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
25,17,4,18,1,24,12,20,8,55,5,10,11,7,3,6,21,2,55,14,9,23,55,19,13,16,15,22,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
55,22,7,3,1,55,55,55,5,55,6,8,18,13,20,23,55,10,55,17,14,55,55,11,12,15,16,55,24,4,25,2,21,9,19,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
20,55,4,23,14,8,55,55,11,55,1,21,2,3,55,55,16,10,55,13,12,5,55,9,15,19,6,7,55,22,55,18,55,17,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
16,23,19,55,1,55,55,55,11,55,2,6,20,3,17,7,12,8,55,10,14,55,55,9,13,22,4,21,5,55,55,15,55,55,18,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
55,55,7,18,2,55,4,55,9,55,25,24,6,14,22,23,3,1,55,21,12,16,55,5,20,19,17,10,8,13,55,11,55,15,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
6,15,24,7,9,1,55,55,3,55,8,12,16,10,25,4,14,2,55,55,20,55,55,11,55,55,5,18,13,23,55,17,22,55,21,19,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
12,55,19,3,17,5,55,55,15,55,14,21,23,1,55,8,16,13,55,10,55,9,55,22,2,7,4,11,6,55,20,18,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
24,19,23,5,6,22,55,55,8,55,11,55,18,7,20,13,10,16,55,14,55,1,55,21,12,55,9,55,4,55,55,55,17,2,55,15,3,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
55,55,4,8,21,16,55,55,9,55,22,17,6,5,55,19,11,15,55,55,3,2,55,55,23,14,10,7,1,55,13,20,55,12,55,55,18,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
13,20,5,21,55,12,55,55,2,55,55,55,7,8,22,55,16,3,55,18,17,24,55,6,55,15,11,14,4,55,23,55,9,10,55,19,1,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
2,55,18,12,11,19,55,55,25,55,4,22,9,5,55,13,1,26,55,6,17,55,55,20,8,16,15,23,21,55,24,7,10,3,55,55,55,14,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
23,55,15,8,22,55,55,55,12,55,24,55,10,6,55,20,4,16,55,21,3,55,55,5,19,9,13,55,55,55,55,17,18,11,55,14,55,1,7,55,55,2,55,55,55,55,55,55,55,55,55,55,55,55
55,55,23,24,55,4,55,55,2,55,10,55,21,19,8,55,13,22,55,55,1,9,55,18,55,14,11,55,55,12,55,55,3,15,55,17,5,20,16,55,55,7,55,6,55,55,55,55,55,55,55,55,55,55
55,1,22,14,10,23,55,55,24,55,15,55,21,5,17,55,11,19,55,55,9,18,55,55,55,3,13,55,55,55,6,55,4,2,55,12,16,7,55,55,55,55,55,20,8,55,55,55,55,55,55,55,55,55
55,17,22,19,24,55,55,55,55,55,55,55,20,18,55,55,4,23,55,55,7,55,55,55,55,11,55,15,55,9,21,55,13,3,55,14,16,2,55,55,6,55,5,10,8,55,12,55,1,55,55,55,55,55
55,22,18,24,55,9,55,55,55,55,5,13,16,19,55,55,7,25,55,55,3,15,55,55,14,10,21,55,55,55,55,23,20,1,55,55,12,2,17,55,55,55,55,55,4,55,11,55,6,8,55,55,55,55
55,25,8,20,55,16,55,55,22,55,1,15,24,21,55,55,4,5,55,55,7,13,55,55,2,9,18,55,6,55,23,55,19,11,55,55,55,12,17,55,55,55,55,14,10,55,55,55,55,3,55,55,55,55
6,55,12,1,23,14,55,55,55,55,20,18,15,55,55,55,2,25,55,55,8,4,55,22,19,17,55,55,55,55,55,55,3,11,55,55,55,10,16,55,24,55,55,21,7,55,9,55,13,5,55,55,55,55
55,21,15,10,8,55,2,55,55,55,55,55,23,3,25,55,55,11,55,18,7,5,55,55,20,6,55,13,24,22,19,55,16,17,55,55,55,4,55,55,55,55,55,12,55,55,9,55,14,1,55,55,55,55
55,55,22,8,20,55,9,55,21,55,26,55,10,1,55,55,7,25,55,55,17,23,55,16,19,18,55,55,6,24,14,55,12,2,55,13,55,15,5,55,55,55,55,11,55,55,55,55,3,4,55,55,55,55
12,24,23,21,26,55,7,55,8,55,4,55,25,14,55,9,55,19,55,55,6,1,55,55,17,55,55,55,20,10,22,55,13,5,55,55,55,3,55,55,16,55,55,11,18,55,15,55,55,2,55,55,55,55
55,12,26,18,55,55,21,55,23,55,8,55,10,3,13,2,55,17,55,1,20,9,55,55,15,55,55,25,55,5,55,14,11,7,55,55,55,6,55,55,16,55,55,55,4,55,55,19,55,22,24,55,55,55
4,55,25,26,55,9,3,55,55,55,8,55,21,1,55,55,55,24,55,27,19,55,55,22,55,55,55,14,7,20,18,23,15,2,55,55,6,55,16,55,55,55,55,55,17,55,11,13,10,12,55,5,55,55
10,55,6,26,55,14,16,55,12,55,55,55,22,5,55,11,55,24,55,13,55,55,55,21,55,55,23,55,55,19,9,8,55,3,55,55,15,1,55,55,55,55,4,55,7,25,20,55,18,17,55,2,55,55
4,55,12,25,55,23,6,55,55,55,10,1,26,5,55,11,55,15,55,16,19,20,55,21,55,55,13,55,55,8,55,22,7,55,55,55,55,24,55,55,17,55,2,3,18,55,55,55,55,14,55,9,55,55
55,25,13,4,16,1,5,55,55,55,15,26,23,7,55,18,55,24,55,3,55,9,55,2,55,55,55,22,8,21,12,55,55,55,55,55,55,17,11,55,55,55,14,10,55,6,55,55,19,55,55,20,55,55
